epoch,train_loss,test_loss,mae,rmse
1,0.004103650639063818,0.016321912433846605,0.102385014,0.12775724
2,0.0012813226824692947,0.013005675825921261,0.08501328,0.11404243
3,0.0007316892885443842,0.011303269057912539,0.07861671,0.106316835
4,0.0005367661113837028,0.010271051820988456,0.07633309,0.101346195
5,0.00048274409673261986,0.011885596482854048,0.081082635,0.10902109
6,0.00043368043763066964,0.010403255256586003,0.07412927,0.101996355
7,0.0004143468387848953,0.009837022857128784,0.07337613,0.099181764
8,0.0004117312610700743,0.010043470132535426,0.074743934,0.10021712
9,0.0003825780855987925,0.010983671557931087,0.076316334,0.10480302
10,0.0003980991330262501,0.011530943386343983,0.08183238,0.10738223
11,0.0003582687255473693,0.012074686012422692,0.08287908,0.10988488
12,0.00036011894281875225,0.01140669245537856,0.0795357,0.10680211
13,0.0003481674974501417,0.010872637679818678,0.078075364,0.10427194
14,0.0003385759668106974,0.010914371598090493,0.077950604,0.10447187
15,0.0003399415450231852,0.00995186522365227,0.074689165,0.09975904
16,0.00032891485684376285,0.01242996910080233,0.08607001,0.111489765
17,0.00033616088115895267,0.011149237517603114,0.07971301,0.10558995
18,0.00032983139492618723,0.011464103728918214,0.080035165,0.10707056
19,0.00032765547924630426,0.011700980521928058,0.08194052,0.10817107
20,0.00032205810876134695,0.0114150042158353,0.07934596,0.10684103
21,0.00031710885990307255,0.011964299316254907,0.08149042,0.10938144
22,0.000315807727760252,0.010988668045304194,0.07803568,0.104826845
23,0.00032428854353965143,0.011117150567713634,0.07829682,0.1054379
24,0.0003154181461331404,0.010627226721373966,0.076556325,0.10308844
25,0.00031163214919917347,0.01200566349048698,0.08182461,0.10957036
26,0.0003147030409101957,0.010754779421907926,0.07609478,0.10370525
27,0.0003098621575273545,0.011367777965990488,0.07937905,0.10661978
28,0.0003117495135724112,0.011099262126315425,0.078146406,0.105353035
29,0.00031051203340623534,0.010382164460597688,0.07471909,0.1018929
30,0.0003088131212816465,0.010788690273865581,0.07655026,0.10386862
